!Source	"The Drug Repurposing Hub, Broad Institute"				
!URL	http://www.broadinstitute.org/repurposing				
!File_date	8/18/2025				
!Table_name	drug_information				
!API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.				
!Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER'S SOLE RISK.				
!Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.				
!Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 2017 Apr 7;23(4):405-408. doi: 10.1038/nm.4306."				
!Contact	repurposing@broadinstitute.org				
pert_iname	clinical_phase	moa	target	disease_area	indication
aceclofenac	Launched	prostanoid receptor antagonist	PTGS2	rheumatology | rheumatology | rheumatology | rheumatology | rheumatology | rheumatology	ankylosing spondylitis | ischiadynia | lumbago | osteoarthritis | periarthritis | rheumatoid arthritis
acedapsone	Launched			infectious disease	leprosy
acedoben	Phase 2				
acefylline	Launched	adenosine receptor agonist	ADORA1	pulmonary	asthma
aceglutamide	Launched			gastroenterology	peptic ulcer disease (PUD)
acelarin	Phase 2/Phase 3	anticancer agent			
acemetacin	Launched	cyclooxygenase inhibitor	PTGS1 | PTGS2	rheumatology	osteoarthritis
aceneuramic-acid	Phase 3		CES1 | SELE | SELP		
acenocoumarol	Launched	vitamin K antagonist	VKORC1	hematology	deep vein thrombosis (DVT)
acepromazine	Launched	dopamine receptor antagonist	ADRA1A | ADRA1B | DRD1 | DRD2 | HTR1A | HTR2A	neurology/psychiatry	sedative
acesulfame-potassium	Phase 3				
acetanilide	Preclinical	hydrogen peroxide decomposition inhibitor			
acetarsol	Launched			gastroenterology	diarrhea
acetazolamide	Launched	carbonic anhydrase inhibitor	AQP1 | CA1 | CA12 | CA13 | CA14 | CA2 | CA3 | CA4 | CA6 | CA7	ophthalmology	glaucoma
acetohexamide	Launched	ATP channel blocker	ABCC8 | KCNJ1 | KCNJ10 | KCNJ11	endocrinology	diabetes mellitus
acetohydroxamic-acid	Launched	urease inhibitor	MMP12	infectious disease	urinary tract infections
acetophenazine	Launched	dopamine receptor antagonist	DRD1 | DRD2	neurology/psychiatry	psychosis
acetriazoic-acid	Preclinical				
acetyl-11-keto-beta-boswellic-acid	Phase 2	lipoxygenase inhibitor	ABCB1 | ALOX5 | HSD11B1 | HSD11B2		
acetylcholine	Launched	acetylcholine receptor agonist	ACHE | CHRM1 | CHRM2 | CHRM3 | CHRM4 | CHRM5 | CHRNA2	gastroenterology | neurology/psychiatry | neurology/psychiatry | neurology/psychiatry | pulmonary	chest congestion | drowsiness | fatigue | headache | indigestion
acetylcysteine	Launched	mucolytic agent	ACY1 | CHUK | GRIN1 | GRIN2A | GRIN2B | GRIN2D | GRIN3A | GSS | IKBKB | RELA | SLC7A11	gastroenterology | gastroenterology	acetaminophen overdose | hepatic injury
acetyl-farnesyl-cysteine	Launched	methyltransferase inhibitor	PPARG	dermatology	acne vulgaris (AV)
acetyl-l-leucine	Launched			neurology/psychiatry	vertigo
acetylsalicylsalicylic-acid	Preclinical	cyclooxygenase inhibitor			
acetylspiramycin	Preclinical	other antibiotic			
acexamic-acid	Launched	5 alpha reductase inhibitor	GAST | SRD5A1	dermatology	wound healing
acifran	Phase 3	cholesterol inhibitor	HCAR2 | HCAR3		
acipimox	Launched	cholesterol inhibitor	HCAR2	endocrinology	hyperlipidemia
acitazanolast	Launched	mediator release inhibitor		allergy	allergic rhinitis
acitretin	Launched	retinoid receptor agonist	RARA | RARB | RARG | RBP1 | RXRA | RXRB | RXRG | STAT3	dermatology	psoriasis
acivicin	Phase 2	gamma glutamyltransferase inhibitor	CAD | CTPS1 | GGT1		
aclarubicin	Launched	topoisomerase inhibitor	TOP1 | TOP2A	hematologic malignancy	acute myeloid leukemia (AML)
aclidinium	Launched	acetylcholine receptor antagonist	CHRM1 | CHRM2 | CHRM3 | CHRM4 | CHRM5	pulmonary | pulmonary | pulmonary	bronchitis | chronic obstructive pulmonary disease (COPD) | emphysema
acolbifene	Phase 3	estrogen receptor antagonist	ESR1 | ESR2		
acotiamide	Launched	acetylcholinesterase inhibitor	ACHE | CHRM1 | CHRM2	gastroenterology	dyspepsia
acoziborole	Preclinical	antitrypanosomal			
ACPC	Phase 1	glutamate receptor antagonist			
acriflavine	Launched	hypoxia inducible factor inhibitor	HIF1A	infectious disease	fungal infection
acriflavinium	Launched	hypoxia inducible factor inhibitor	HIF1A	infectious disease	fungal infection
acrisorcin	Launched	other antifungal		infectious disease	fungal infection
acrivastine	Launched	histamine receptor antagonist	HRH1	allergy	allergic rhinitis
acrizanib	Phase 2	vegfr inhibitor		ophthalmology	macular degeneration
acrylate	Phase 3	mucus protecting agent			
ACT-132577	Launched	endothelin receptor antagonist	EDNRA | EDNRB	pulmonary	pulmonary arterial hypertension (PAH)
ACT-462206	Phase 1	orexin receptor antagonist	HCRTR1 | HCRTR2		
act-709478	Phase 2	calcium channel blocker	CACNA1G	neurology/psychiatry	epilepsy
actarit	Launched	interleukin receptor agonist		rheumatology	rheumatoid arthritis
ACTB-1003	Phase 1	FGFR inhibitor | VEGFR inhibitor	FGF2 | KDR | RPS6KA1 | RPS6KB1 | TEK		
actinomycin d	Launched	rna polymerase inhibitor		oncology	"wilm's tumor, ewing's sarcoma, rhabdomyosarcoma, testicular carcinoma"
actinomycin-d	Launched	RNA polymerase inhibitor		oncology | oncology | oncology | oncology	Ewing's sarcoma | rhabdomyosarcoma | testicular carcinoma | Wilm's tumor
actinonin	Preclinical			infectious disease	gram-negative bacterial infections
actinoquinol	Preclinical				
acumapimod	Phase 1	p38 MAPK inhibitor	MAPK14		
ACY-1215	Phase 1/Phase 2	HDAC inhibitor	HDAC1 | HDAC2 | HDAC3 | HDAC6 | HDAC8		
acyclovir	Launched	DNA polymerase inhibitor	PNP	infectious disease | infectious disease | infectious disease	chicken pox | genitial herpes | shingles
AD-5467	Phase 2	aldose reductase inhibitor	AKR1B1		
adapalene	Launched	retinoid receptor agonist	RARA | RARB | RARG | RXRA | RXRB | RXRG	dermatology	acne vulgaris (AV)
adaprev	Phase 3	TGF beta receptor inhibitor	AKR1B1 | GPI | HK1 | M6PR | PYGM | TGFB1		
adaptavir	Phase 2	CC chemokine receptor antagonist	CCR5		
adarotene	Phase 1	retinoid receptor agonist	RARA | RARB | RARG		
adatanserin	Phase 2	serotonin receptor agonist | serotonin receptor antagonist	HTR1A | HTR2A		
adavivint	Phase 1	WNT pathway inhibitor			
ADD-233089	Phase 1	benzodiazepine receptor agonist			
adefovir	Launched	DNA polymerase inhibitor		infectious disease	hepatitis B
adefovir-dipivoxil	Launched	DNA polymerase inhibitor		infectious disease	hepatitis B
adelmidrol	Launched	anti-inflammatory agent		dermatology	dermatitis
ademetionine	Launched	methyltransferase stimulant | phosphodiesterase inhibitor	PDE4B	neurology/psychiatry | neurology/psychiatry	attention-deficit/hyperactivity disorder (ADHD) | depression
adenine	Preclinical	protein synthesis stimulant	ACACB | ACP1 | APRT | MTAP | PECR | SRPK2		
adenosine	Launched	adenosine receptor agonist	ADORA1 | ADORA2A | ADORA2B | ADORA3 | PI4K2A | PI4K2B | TRPM4	cardiology	Wolff-Parkinson-White Syndrome (WPW)
adenosine 5-monophosphate	Launched	adenosine receptor agonist	ACSL1 | ACSS1 | ACSS2 | ADCY1 | ADK | CREB1 | FBP1 | HINT1 | PDE4B | PDE4D | PIM1 | PRKAA1 | PRKAB1 | PRKAB2 | PYGL | TRPM4		
adenosine-phosphate	Launched	adenosine receptor agonist	ACSL1 | ACSS1 | ACSS2 | ADCY1 | ADK | CREB1 | FBP1 | HINT1 | PDE4B | PDE4D | PIM1 | PRKAA1 | PRKAB1 | PRKAB2 | PYGL | TRPM4		
adenosine-triphosphate	Phase 2	adenosine receptor agonist	ABCA1 | ABCB1 | ABCB11 | ABCC2 | ABCC8 | ABCC9 | ABCG1 | ABL1 | ABL2 | ACSL1 | ACSS1 | ACSS2 | ACVR1 | ACVR1B | ACVRL1 | ADCY1 | ADRBK1 | ADRBK2 | AFG3L2 | AKT1 | ALK | AMHR2 | APAF1 | ARAF | ASNA1 | ASNS | ASS1 | CDK15 | GPR17 | ITPR1 | NAE1 | NT5C2 | P2RY1 | P2RY11 | P2RY13 | P2RY2 | P2RY4 | PRKAA1 | RYR1 | RYR2 | RYR3 | SLC25A4 | TNK2 | TRPM4 | TRPM7		
adiphenine	Launched	acetylcholine receptor antagonist	CHRNA1	neurology/psychiatry	spasms
adipic-acid	Preclinical	solute carrier family member inhibitor	SLC22A6		
adiporon	Preclinical	adiponectin receptor agonist	ADIPOR1 | ADIPOR2		
ADL5859	Phase 2	opioid receptor agonist	OPRD1		
adomeglivant	Preclinical	glucagon receptor antagonist	GCGR		
adoprazine	Phase 2	dopamine receptor antagonist | serotonin receptor agonist	DRD2 | HTR1A		
adrafinil	Launched	adrenergic receptor agonist		neurology/psychiatry	fatigue
adrenalone	Launched	adrenergic receptor agonist	ADRA1A	hematology	hemorrhage
adrenosterone	Preclinical	11-beta hydroxysteroid dehydrogenase inhibitor	HSD11B1 | HSD11B2		
adriforant (hydrochloride)	Phase 2	histamine receptor antagonist	HRH4	dermatology	dermatitis
ADX-10059	Phase 2	glutamate receptor negative allosteric modulator	GRM5		
ADX-47273	Preclinical	glutamate receptor modulator	GRM5		
AEE788	Phase 1/Phase 2	EGFR inhibitor | VEGFR inhibitor	EGFR | ERBB2 | ERBB4 | FGFR2 | FGFR3 | FLT1 | KDR		
AEG3482	Preclinical	HSP inducer			
AF38469	Preclinical	sortilin inhibitor	SORT1		
afalanine	Phase 3	dopamine receptor agonist	DRD2 | SLC6A3		
afamelanotide	Launched	melanocyte-stimulating hormone mimetic | melatonin receptor agonist	MC1R | MC3R | MC4R | MC5R	dermatology	erythropoietic protoporphyria (epp)
afatinib	Launched	EGFR inhibitor	EGFR | ERBB2 | ERBB4	oncology	non-small cell lung cancer (NSCLC)
afimoxifene	Phase 2	estrogen receptor antagonist	CYP3A5 | ESR1 | ESR2 | ESRRG | PLD1 | PRKCD | PRKCE | PRKCQ | PRKCZ		
afloqualone	Launched	acetylcholine receptor antagonist		neurology/psychiatry	sedative
AFN-1252	Phase 2	FABI inhibitor			
afobazole	Launched	anxiolytic		neurology/psychiatry	anxiety
afoxolaner	Launched	gaba receptor antagonist	GABRA1	infectious disease	flea control
AG-1024	Preclinical	insulin growth factor receptor inhibitor	EGFR | IGF1R		
AG-14361	Preclinical	PARP inhibitor	PARP1		
AG-490	Preclinical	EGFR inhibitor | JAK inhibitor	EGFR | JAK2 | JAK3 | STAT3		
AG-555	Preclinical	tyrosine kinase inhibitor	CDK2		
AG-556	Preclinical	tyrosine kinase inhibitor			
AGI-5198	Preclinical	isocitrate dehydrogenase inhibitor	IDH1		
AGI-6780	Preclinical	isocitrate dehydrogenase inhibitor	IDH2		
AGM-1470	Phase 2	cell cycle inhibitor	METAP2		
agmatine	Phase 3	nitric oxide synthase inhibitor	ADRA2C | ASIC3 | CACNA1B | CHRNA1 | GRIN1 | KCNJ1 | NISCH | PCSK1 | PCSK6		
AGN-192403	Preclinical	imidazoline receptor ligand	NISCH		
AGN-194310	Phase 3	retinoid receptor antagonist	RXRA | RXRB | RXRG		
AGN-195183	Phase 1/Phase 2	retinoid receptor agonist	RARA		
agomelatine	Launched	melatonin receptor agonist | serotonin receptor antagonist	CYP1A2 | CYP2C19 | HTR2A | HTR2B | HTR2C | MTNR1A | MTNR1B	neurology/psychiatry	depression
AGP-103	Launched	membrane permeability inhibitor			
AH11110	Preclinical	adrenergic receptor ligand	ADRA1B		
AH6809	Preclinical	prostanoid receptor antagonist	PTGDR | PTGER1 | PTGER2 | PTGER3		
AH-7614	Preclinical	free fatty acid receptor antagonist	FFAR4		
AI-10-49	Preclinical	core binding factor inhibitor	CBFB		
AIM-100	Preclinical	tyrosine kinase inhibitor	TNK2		
AJ76-(+)	Preclinical	dopamine receptor antagonist	DRD2 | DRD3 | DRD4		
ajmaline	Launched	sodium channel blocker	KCNH2 | KCNQ1	"cardiology | cardiology, Tachycardias | Tachycardias"	"atrial fibrillation (af) | Wolff-Parkinson-White Syndrome (WPW) | wolff-parkinson-white syndrome (wpw), atrial fibrillation (af)"
AK-7	Preclinical	SIRT inhibitor	SIRT2		
AKBA	Phase 3	lipoxygenase inhibitor	ALOX5		
aklomide	Launched			infectious disease	coccidiosis
AL-8697	Preclinical	p38 MAPK inhibitor	MAPK14 | RET | TNF		
alacepril	Launched	angiotensin converting enzyme inhibitor	ACE	cardiology	hypertension
alafosfalin	Phase 1	bacterial cell wall synthesis inhibitor			
alagebrium	Phase 2/Phase 3	glycosylation inhibitor			
alanine	Launched				
alanosine	Phase 2	antimetabolite			
alantolactone	Preclinical	apoptosis stimulant | STAT inhibitor	ACHE | STAT3		
alaproclate	Phase 2	serotonin receptor antagonist	SLC6A4		
alarelin	Launched	gonadotropin releasing factor hormone receptor antagonist	GNRH1		
albendazole	Launched	tubulin polymerization inhibitor	CYP1A2 | CYP2J2 | TUBA1A | TUBB | TUBB4B	infectious disease | infectious disease	cystic hydatid disease | parenchymal neurocysticercosis
albendazole-oxide	Launched	anthelmintic agent		infectious disease | infectious disease	cystic hydatid disease | parenchymal neurocysticercosis
albuterol	Launched	adrenergic receptor agonist	ADRB2	pulmonary	asthma
alcaftadine	Launched	histamine receptor antagonist	HRH1	allergy	allergic conjunctivitis
alclofenac	Launched	cyclooxygenase inhibitor	PTGS1 | PTGS2	rheumatology	rheumatoid arthritis
alclometasone dipropionate	Launched	glucocorticoid receptor agonist	NR3C1	Dermatology	corticosteroid-responsive dermatoses
alclometasone-dipropionate	Launched	glucocorticoid receptor agonist	CYP3A4 | NR3C1 | SERPINA6	dermatology	corticosteroid-responsive dermatoses
alcuronium	Launched	muscle relaxant	CHRM1 | CHRM2 | CHRM3 | CHRM4 | CHRNA7	neurology/psychiatry	muscle relaxant
alda-1	Preclinical	aldehyde dehydrogenase activator	ALDH2		
aldose reductase-in-1	Phase 3	aldose reductase inhibitor	AKR1B1	cardiology	cardiomyopathy
aldoxorubicin	Phase 3	topoisomerase inhibitor	TOP2A		
alectinib	Launched	ALK tyrosine kinase receptor inhibitor	ALK | MET	oncology	non-small cell lung cancer (NSCLC)
aleglitazar	Phase 3	ppar receptor agonist	PPARA | PPARG	endocrinology	diabetes mellitus
alendronate	Launched	bone resorption inhibitor	ATP6V1A | FDPS | PTPN4 | PTPRE | PTPRS	orthopedics	osteoporosis
alexidine	Preclinical	phosphatidylglycerophosphatase inhibitor	CXCR4 | PTPMT1		
alfacalcidol	Launched	vitamin D receptor agonist	CYP27B1 | VDR	endocrinology	vitamin D deficiency
alfadolone-acetate	Phase 2	benzodiazepine receptor agonist			
alflutinib	Phase 2	protein tyrosine kinase inhibitor	EGFR	oncology	non-small cell lung cancer (nsclc)
alfuzosin	Launched	adrenergic receptor antagonist	ADRA1A | ADRA1B | ADRA1D | SCN10A | SCN11A | SCN1A | SCN2A | SCN3A | SCN4A | SCN5A | SCN7A | SCN8A | SCN9A	urology	benign prostatic hyperplasia (BPH)
algestone acetophenide	Launched			endocrinology	contraceptive
algestone-acetophenide	Launched			endocrinology	contraceptive
alibendol	Launched	antispasmodic		gastroenterology	bile stimulation
alicapistat	Phase 1	calpain inhibitor	CAPN1 | CAPN2	neurology/psychiatry	alzheimer's disease
alimemazine	Launched	histamine receptor agonist | histamine receptor antagonist	HRH1	allergy | neurology/psychiatry | neurology/psychiatry | pulmonary	cough suppressant | itching | sedative | urticaria
alinidine	Phase 3	bradycardic effect	HCN1 | HCN2 | HCN3 | HCN4		
alisertib	Phase 3	Aurora kinase inhibitor	AURKA		
aliskiren-hemifumarate	Launched	renin inhibitor	REN	cardiology	hypertension
alisporivir	Phase 3	cyclophilin inhibitor	PPIA		
alizapride	Launched	dopamine receptor antagonist	DRD2	gastroenterology	nausea
alizapride hcl	Launched	dopamine receptor antagonist		gastroenterology	nausea
alizarin	Preclinical				
alk2-in-1	Phase 1	alk inihibitor	ALK	oncology	glioma
allantoin	Launched	cosmetic		dermatology	skin protectant
allicin	Phase 2	cytokine production inhibitor	CTSB | CTSL | TRPA1 | TRPV1		
allopurinol	Launched	xanthine oxidase inhibitor	XDH	rheumatology | urology	gout | kidney stones
allopurinol-riboside	Phase 2	"anti-leishmanial agent | anti-leishmanial agent, phosphorylase inhibitor | phosphorylase inhibitor"	PNP		
allylestrenol	Launched	steroidal progestin	ESR1 | PGR | SLC6A9	obstetrics/gynecology	premature labor
allylisothiocyanate	Preclinical	TRPV agonist	TRPA1		
allylthiourea	Preclinical	nitrification inhibitor			
alminoprofen	Preclinical	cyclooxygenase inhibitor	PTGS1 | PTGS2	cardiology	edema
almitrine	Launched	neurotransmitter agonist	ATP1A1	pulmonary	chronic obstructive pulmonary disease (COPD)
almonertinib	Phase 2	egfr inhibitor	EGFR	oncology	non-small cell lung cancer (nsclc)
almorexant	Phase 3	orexin receptor antagonist	HCRTR1 | HCRTR2		
almotriptan	Launched	serotonin receptor agonist	HTR1B | HTR1D | HTR1F	neurology/psychiatry	migraine headache
aloe-emodin	Preclinical	anticancer agent	CASP3 | CASP8		
alofanib	Phase 1	fgfr inhibitor	FGFR2	oncology	ovarian cancer
alogliptin	Launched	dipeptidyl peptidase inhibitor	DPP4	endocrinology	diabetes mellitus
alogliptin benzoate	Launched	dipeptidyl peptidase inhibitor	DPP4	endocrinology	diabetes mellitus
aloin	Preclinical	angiogenesis inhibitor			
aloperine	Preclinical				
alosetron	Withdrawn	serotonin receptor antagonist	HTR3A		
alovudine	Phase 2	DNA synthesis marker			
aloxistatin	Phase 3	protease inhibitor	CTSB | CTSG | CTSH | CTSL		
alpelisib	Launched	PI3K inhibitor	PIK3CA | PIK3CB | PIK3CD | PIK3CG	oncology	breast cancer
alpha-asarone	Preclinical	cytochrome P450 inhibitor | HMGCR inhibitor	ACHE | HMGCR		
alpha-D-glucopyranose	Preclinical				
alpha-glucosyl-hesperidin	Preclinical	antioxidant			
alpha-linolenic-acid	Phase 3	omega 3 fatty acid stimulant	ELOVL4 | FADS1 | FADS2 | FFAR1 | FFAR4 | PTGS2 | SLC8A1 | TRPV1		
alpha-methylhistamine-dihydrobromide-(R)-(-)	Preclinical	histamine receptor agonist	HRH3		
alpha-methylhistamine-dihydrobromide-(S)-(+)	Preclinical	histamine receptor agonist	HRH3		
alpha-methylserotonin	Preclinical	serotonin receptor agonist	HTR1D | HTR1E | HTR1F | HTR2A | HTR2B | HTR2C | HTR4		
alpha-tochopherol	Launched	antioxidant		endocrinology	vitamin E deficiency
alpha-tochopheryl-acetate	Launched	antioxidant		endocrinology	vitamin E deficiency
alpidem	Withdrawn	benzodiazepine receptor agonist	GABRA1		
alprenolol	Launched	adrenergic receptor antagonist	ADRB1 | ADRB2	cardiology	angina pectoris
alprostadil	Launched	prostanoid receptor agonist	CATSPER1 | CATSPER2 | CATSPER3 | CATSPER4 | PTGDR | PTGER1 | PTGER2 | PTGER4 | PTGIR	cardiology	congenital heart defects
alrestatin	Preclinical	aldose reductase inhibitor	AKR1B1		
ALS-8112	Phase 1				
ALS-8176	Phase 1	RNA polymerase inhibitor			
altanserin	Phase 2	serotonin receptor antagonist	HTR2A | HTR2C		
althiazide	Launched	diuretic		cardiology	hypertension
altinicline	Phase 2	nicotinic receptor agonist	CHRNA4 | CHRNB2		
altiratinib	Phase 1	MET inhibitor | VEGFR inhibitor	KDR | MET | TEK		
altrenogest	Launched	progestogen hormone	PGR	endocrinology	estrus
altretamine	Launched	DNA synthesis inhibitor		oncology	ovarian cancer
alverine	Launched	muscle relaxant	HTR1A	gastroenterology | gastroenterology	diverticular disease | irritable bowel syndrome
alvespimycin	Phase 2	HSP inhibitor	HSP90AA1		
alvimopan	Launched	opioid receptor antagonist	OPRD1 | OPRK1 | OPRM1	gastroenterology	postoperative ileus
alvocidib	Phase 2	CDK inhibitor	BCL2 | BIRC5 | CCNT1 | CDK1 | CDK2 | CDK4 | CDK5 | CDK6 | CDK7 | CDK8 | CDK9 | EGFR | MCL1 | PYGM | XIAP		
ALX-40-4C	Preclinical	CC chemokine receptor antagonist	CXCR4		
ALX-5407	Phase 1	glycine transporter inhibitor	SLC6A9		
AM095	Preclinical	lysophosphatidic acid receptor antagonist	LPAR1		
AM-1241	Preclinical	cannabinoid receptor agonist	CNR1 | CNR2		
AM211	Preclinical	prostaglandin inhibitor	PTGDR2		
AM-24	Phase 2	lipoxygenase inhibitor	ALOX5 | SELL		
AM-251	Preclinical	cannabinoid receptor antagonist	CNR1 | GPR18 | GPR55		
AM-281	Preclinical	cannabinoid receptor antagonist	CNR1 | CNR2 | GPR55		
AM-404	Preclinical	cyclooxygenase inhibitor | FAAH inhibitor | TRPV antagonist	CNR1 | CNR2 | FAAH | TRPV1		
AM-580	Preclinical	retinoid receptor agonist	RARA		
AM-630	Preclinical	cannabinoid receptor antagonist	CNR1 | CNR2		
AM679	Preclinical	cannabinoid receptor agonist | lipoxygenase inhibitor	ALOX5AP | CNR1 | CNR2		
AM-92016	Preclinical	potassium channel blocker	GRIN1 | GRIN2B		
amantadine	Launched	glutamate receptor antagonist	DRD2 | GRIN1 | GRIN2A | GRIN2B | GRIN2C | GRIN2D | GRIN3A	infectious disease | neurology/psychiatry	influenza A virus infection | Parkinson's Disease
ambazone	Phase 1	DNA damage inducer			
ambenonium	Launched	cholinesterase inhibitor	ACHE	neurology/psychiatry	myasthenia gravis
ambrisentan	Launched	endothelin receptor antagonist	CYP2C19 | CYP3A4 | CYP3A5 | EDNRA | EDNRB | SLCO1B3	pulmonary	pulmonary arterial hypertension (PAH)
ambroxol	Launched	sodium channel blocker	CYP3A4 | GBA	pulmonary	bronchitis
amcasertib	Phase 2	kinase inhibitor			
amcenestrant	Phase 3		ESR1	oncology	breast cancer
amcinonide	Launched	glucocorticoid receptor agonist	NR3C1	dermatology | Dermatology	corticosteroid-responsive dermatoses | dermatitis
AMD11070	Phase 3	CC chemokine receptor antagonist	CCR5 | CXCR4		
AMD-3465	Preclinical	CC chemokine receptor antagonist	CXCR4		
amdinocillin	Launched	bacterial cell wall synthesis inhibitor		infectious disease | infectious disease	gram-negative bacterial infections | urinary tract infections
ameltolide	Preclinical	anticonvulsant			
amenamevir	Phase 1	helicase primase inhibitor			
ametantrone	Preclinical	anticancer agent	TOP2A		
amezinium	Launched	adrenergic receptor agonist	ADRB2	cardiology	hypotension
amfebutamone hcl	Launched	dopamine reuptake inhibitor	SLC6A2 | SLC6A3	neurology/psychiatry	depression
amfenac	Launched	cyclooxygenase inhibitor	PTGS1 | PTGS2	neurology/psychiatry	pain relief
amflutizole	Phase 2	xanthine oxidase inhibitor	XDH		
AMG-176	Phase 1	MCL1 inhibitor	MCL1		
AMG-208	Phase 1	tyrosine kinase inhibitor	MET		
AMG-232	Phase 2	MDM inhibitor	MDM2		
AMG319	Phase 2	PI3K inhibitor	PIK3CD		
AMG-319	Phase 2	PI3K inhibitor	PIK3CD		
amg 333	Phase 1	transient receptor potential channel antagonist	TRPM8	neurology/psychiatry	migraine headache
AMG-337	Phase 2	MET inhibitor	MET		
AMG458	Preclinical	MET inhibitor	MET		
AMG-487	Phase 2	CC chemokine receptor antagonist	CXCR3		
AMG-487-(+/-)	Phase 2	CC chemokine receptor antagonist	CXCR3		
AMG-510	Phase 1/Phase 2	K-Ras inhibitor	KRAS		
AMG-517	Phase 1	TRPV antagonist	TRPV1		
AMG-548	Phase 1	MAP kinase inhibitor	MAPK11 | MAPK12 | MAPK13 | MAPK14 | TNF		
AMG-837	Phase 1	free fatty acid receptor agonist	FFAR1		
AMG900	Phase 1	Aurora kinase inhibitor	AURKA | AURKB | AURKC		
AMG-925	Phase 1	CDK inhibitor | FLT3 inhibitor	CDK4 | CDK6 | FLT3		
AMG-9810	Preclinical	TRPV antagonist	TRPV1		
AMG-PERK-44	Preclinical	PERK inhibitor	EIF2AK4		
AMI-1	Preclinical	protein arginine N-methyltransferase inhibitor	PRMT1		
amibegron	Phase 3	adrenergic receptor agonist	ADRB3		
amidopyrine	Launched	analgesic agent		dermatology	dermatitis herpetiformis (DH)
amifampridine	Launched	potassium channel blocker		neurology/psychiatry	Lambert-Eaton myasthenic syndrome (LEMS)
amiflamine	Phase 1	monoamine oxidase inhibitor	MAOA | MAOB | SLC6A2		
amifostine	Launched	reducing agent	ALPPL2 | ENPP1	nephrology	renal toxicity
amikacin	Launched	bacterial 30S ribosomal subunit inhibitor		infectious disease	gram-negative bacterial infections
amiloride	Launched	sodium channel blocker	AOC1 | ASIC1 | ASIC2 | ASIC3 | PKD2 | PKD2L1 | PLAU | SCNN1A | SCNN1B | SCNN1D | SCNN1G | SLC9A1 | TRPC7 | TRPV2	cardiology | cardiology	congestive heart failure | hypertension
amineptine	Withdrawn	dopamine receptor agonist	SLC6A2 | SLC6A4		
aminocaproic-acid	Launched	plasminogen activator inhibitor	LPA | PLAT | PLG	hematology	fibrinolytic bleeding
aminoglutethimide	Launched	glucocorticoid receptor antagonist	CYP11A1 | CYP19A1 | NR3C1	endocrinology | oncology	breast cancer | Cushing's syndrome
aminoguanidine	Phase 3	nitric oxide synthase inhibitor	AKR1B1 | NOS2 | TIMP3		
aminohydroxybutyric-acid	Launched			neurology/psychiatry	epilepsy
aminolevulinic-acid-benzyl-ester	Phase 1				
aminomethyltransferase	Preclinical	nitric oxide synthase inhibitor	NOS2		
aminopentamide	Launched	acetylcholine receptor antagonist	CHRM1	gastroenterology | gastroenterology | gastroenterology	acute abdominal visceral spasm | hypertrophic gastritis (GHG) | nausea
aminophylline	Launched	adenosine receptor antagonist	ADORA1 | ADORA2A | ADORA2B | ADORA3 | HDAC2 | PDE3A | PDE3B | PDE4A | PDE4B | PDE4C | PDE4D | PDE5A	pulmonary | pulmonary | pulmonary	asthma | bronchitis | emphysema
